"location","day_index","day","temperature"
"arvida",1,0.5,-14.1
"arvida",2,1.5,-14.4
"arvida",3,2.5,-15
"arvida",4,3.5,-14.3
"arvida",5,4.5,-16.2
"arvida",6,5.5,-16.3
"arvida",7,6.5,-14.6
"arvida",8,7.5,-15.8
"arvida",9,8.5,-16.8
"arvida",10,9.5,-16.3
"arvida",11,10.5,-15.2
"arvida",12,11.5,-16.4
"arvida",13,12.5,-17.6
"arvida",14,13.5,-16.1
"arvida",15,14.5,-16.9
"arvida",16,15.5,-18.7
"arvida",17,16.5,-18.6
"arvida",18,17.5,-16.6
"arvida",19,18.5,-14
"arvida",20,19.5,-16.2
"arvida",21,20.5,-15.5
"arvida",22,21.5,-14
"arvida",23,22.5,-12
"arvida",24,23.5,-13.2
"arvida",25,24.5,-12.5
"arvida",26,25.5,-13.2
"arvida",27,26.5,-13.9
"arvida",28,27.5,-16.3
"arvida",29,28.5,-15.6
"arvida",30,29.5,-15.1
"arvida",31,30.5,-14.7
"arvida",32,31.5,-14.9
"arvida",33,32.5,-14.9
"arvida",34,33.5,-15.8
"arvida",35,34.5,-16.2
"arvida",36,35.5,-16.9
"arvida",37,36.5,-16.5
"arvida",38,37.5,-15.2
"arvida",39,38.5,-13.4
"arvida",40,39.5,-16
"arvida",41,40.5,-15.4
"arvida",42,41.5,-14.3
"arvida",43,42.5,-15.4
"arvida",44,43.5,-12.5
"arvida",45,44.5,-11.9
"arvida",46,45.5,-11.9
"arvida",47,46.5,-13.6
"arvida",48,47.5,-13.9
"arvida",49,48.5,-12.7
"arvida",50,49.5,-11.6
"arvida",51,50.5,-11.2
"arvida",52,51.5,-11.3
"arvida",53,52.5,-10.4
"arvida",54,53.5,-11.3
"arvida",55,54.5,-10.9
"arvida",56,55.5,-10.8
"arvida",57,56.5,-10.5
"arvida",58,57.5,-11.4
"arvida",59,58.5,-9.7
"arvida",60,59.5,-10.4
"arvida",61,60.5,-9.9
"arvida",62,61.5,-10.4
"arvida",63,62.5,-9.9
"arvida",64,63.5,-8.5
"arvida",65,64.5,-8.8
"arvida",66,65.5,-7.2
"arvida",67,66.5,-9.5
"arvida",68,67.5,-8.9
"arvida",69,68.5,-7.9
"arvida",70,69.5,-8.4
"arvida",71,70.5,-8.5
"arvida",72,71.5,-7.2
"arvida",73,72.5,-6.4
"arvida",74,73.5,-5.9
"arvida",75,74.5,-7
"arvida",76,75.5,-6.2
"arvida",77,76.5,-5.5
"arvida",78,77.5,-4.4
"arvida",79,78.5,-5
"arvida",80,79.5,-4.6
"arvida",81,80.5,-4
"arvida",82,81.5,-3
"arvida",83,82.5,-2.3
"arvida",84,83.5,-2.5
"arvida",85,84.5,-2.4
"arvida",86,85.5,-2.4
"arvida",87,86.5,-1.3
"arvida",88,87.5,-1.1
"arvida",89,88.5,-0.6
"arvida",90,89.5,-0.4
"arvida",91,90.5,-1
"arvida",92,91.5,-0.9
"arvida",93,92.5,-0.3
"arvida",94,93.5,0.2
"arvida",95,94.5,0.9
"arvida",96,95.5,-0.4
"arvida",97,96.5,-0.3
"arvida",98,97.5,-0.1
"arvida",99,98.5,-0.2
"arvida",100,99.5,0.7
"arvida",101,100.5,0.9
"arvida",102,101.5,1.7
"arvida",103,102.5,2.9
"arvida",104,103.5,3.6
"arvida",105,104.5,4
"arvida",106,105.5,4.4
"arvida",107,106.5,4.7
"arvida",108,107.5,3.7
"arvida",109,108.5,3.4
"arvida",110,109.5,4.1
"arvida",111,110.5,5
"arvida",112,111.5,3.9
"arvida",113,112.5,4.9
"arvida",114,113.5,4.4
"arvida",115,114.5,5.2
"arvida",116,115.5,5.5
"arvida",117,116.5,6.5
"arvida",118,117.5,6.3
"arvida",119,118.5,7.6
"arvida",120,119.5,7.2
"arvida",121,120.5,7.5
"arvida",122,121.5,6.1
"arvida",123,122.5,6.1
"arvida",124,123.5,6.4
"arvida",125,124.5,6.9
"arvida",126,125.5,7.4
"arvida",127,126.5,7.5
"arvida",128,127.5,7.7
"arvida",129,128.5,8.6
"arvida",130,129.5,8.2
"arvida",131,130.5,8.5
"arvida",132,131.5,9.1
"arvida",133,132.5,10
"arvida",134,133.5,9.8
"arvida",135,134.5,11.3
"arvida",136,135.5,12.1
"arvida",137,136.5,11.8
"arvida",138,137.5,11.2
"arvida",139,138.5,12.2
"arvida",140,139.5,11.9
"arvida",141,140.5,11.4
"arvida",142,141.5,11.4
"arvida",143,142.5,11.3
"arvida",144,143.5,12
