"scenario","backend","status","elapsed_sec","actual_backend","implementation","validation_status","log_likelihood","fitted_beta","fitted_range","fitted_sigma","fitted_noise_sd","error","delta_log_likelihood","delta_beta","delta_noise_sd","posterior_mean_max_abs"
"identity_known_1d_eb","exact","ok",0.437,"exact",NA,NA,24.8261653887436,0.133484118569826,0.372372930079943,0.201312386063744,NA,NA,0,0,NA,0
"identity_known_1d_eb","laplace_tmb","ok",0.341,"laplace","tmb",NA,24.82616538869,0.133483409191506,0.372371502870498,0.20131150613454,NA,NA,5.36282129814936e-11,7.09378319807552e-07,NA,9.02970176408502e-08
"identity_known_1d_eb","inla","ok",8.948,"inla",NA,NA,24.8261356445453,0.133826986362728,0.373042098829313,0.201818467608341,NA,NA,2.97441982972657e-05,0.00034286779290163,NA,6.32426948650178e-05
"log_known_1d_eb","laplace_tmb","ok",0.295999999999999,"laplace","tmb",NA,12.9162347022959,0.0880732146941562,0.264317095372083,0.149226296043474,NA,NA,0,0,NA,0
"log_known_1d_eb","laplace_r","ok",2.115,"laplace","r",NA,12.9162352141975,0.0880671422412994,0.26432966031674,0.149231942882943,NA,NA,5.11901614430599e-07,6.07245285676183e-06,NA,2.43648538766905e-06
"log_known_1d_eb","inla","ok",8.785,"inla",NA,NA,12.9162170013813,0.0878098006238952,0.263816193145935,0.149206203576482,NA,NA,1.77009146007379e-05,0.000263414070260912,NA,0.00701703875168191
"log_learned_1d_eb","laplace_tmb","ok",0.379000000000001,"laplace","tmb",NA,9.45531779744638,0.099826115729005,0.285137933591222,0.153919096662774,0.109809735446299,NA,0,0,0,0
"log_learned_1d_eb","laplace_r","ok",2.17,"laplace","r",NA,9.45531539032142,0.0998107928134801,0.285433869295978,0.154005525989876,0.10982001534588,NA,2.40712496335505e-06,1.53229155248763e-05,1.02798995809811e-05,7.6989237144609e-05
"log_learned_1d_eb","inla","error",27.736,NA,NA,NA,NA,NA,NA,NA,NA,"INLA Matern validation failed for log-link learned-noise Matern without PC prior. The INLA fit did not match the package Laplace reference: log_likelihood_abs = 0.109675 > 0.1024. Use `backend = ""laplace""` or `backend = ""laplace_tmb""` for this case.",NA,NA,NA,NA
"log_learned_1d_eb_pc","laplace_tmb_pc","ok",0.451,"laplace","tmb",NA,5.41111570255603,0.0992492973583098,0.287475307599246,0.161714576824167,0.109716542093623,NA,0,0,0,0
"log_learned_1d_eb_pc","laplace_r_pc","ok",2.059,"laplace","r",NA,5.41111633495844,0.0992330706344728,0.287504590444899,0.161702380184191,0.109725276068148,NA,6.32402410438715e-07,1.62267238369568e-05,8.7339745257764e-06,2.60098548590104e-05
"log_learned_1d_eb_pc","inla_pc","ok",34.045,"inla_pc",NA,"passed",5.33889991716203,0.0973979276172728,0.265997323132953,0.164730940705647,0.1,NA,0.0722157853939933,0.00185136974103693,0.00971654209362256,0.0197092389443541
"log_known_2d_fixed_beta","laplace_tmb","ok",0.0910000000000082,"laplace","tmb",NA,3.66780863680091,0,0.840266442620093,0.144207370326639,NA,NA,0,0,NA,0
"log_known_2d_fixed_beta","inla","ok",2.265,"inla",NA,NA,3.66780896451144,0,0.839320946341061,0.144179778762068,NA,NA,3.27710523606584e-07,0,NA,0.0094073285095071
"log_known_2d_fixed_beta","auto","ok",2.34599999999999,"inla",NA,NA,3.66780903669672,0,0.839241834837098,0.1442005682893,NA,NA,3.99895810687667e-07,0,NA,0.00939538284030417
