"cell_id","regime","regime_label","tau0","n","rep","seed","status","error_message","loglik_iid","loglik_matern_original","loglik_matern_refined","delta_original","delta_refined","selection_original","selection_refined","fitted_range_original","fitted_range_refined","range_ratio_refined","flip_to_iid"
"fixed_domain__tau0_0.2__n_40","fixed_domain","fixed-domain",0.2,40,28,20360441,"ok",NA,-8.99653474236441,-8.64545902252452,-8.64545902252452,0.351075719839887,0.351075719839887,"matern","matern",0.000483703222683533,0.000483703222683533,1,FALSE
"fixed_domain__tau0_0.2__n_40","fixed_domain","fixed-domain",0.2,40,3,20360416,"ok",NA,-9.24983950287787,-9.1495183666529,-9.1495183666529,0.100321136224974,0.100321136224974,"matern","matern",0.0401084158438917,0.0401084158438917,1,FALSE
"fixed_domain__tau0_0.2__n_40","fixed_domain","fixed-domain",0.2,40,37,20360450,"ok",NA,-6.00817977608325,-5.55240483448614,-5.55240483448614,0.455774941597106,0.455774941597106,"matern","matern",0.00235851643649067,0.00235851643649067,1,FALSE
"fixed_domain__tau0_0.2__n_40","fixed_domain","fixed-domain",0.2,40,17,20360430,"ok",NA,-5.5475389397355,-5.02437257716572,-5.02437257716572,0.523166362569771,0.523166362569771,"matern","matern",0.000232535867121985,0.000232535867121985,1,FALSE
"fixed_domain__tau0_0.2__n_40","fixed_domain","fixed-domain",0.2,40,33,20360446,"ok",NA,-6.53204669448642,-5.66733426138873,-5.66733426138873,0.86471243309769,0.86471243309769,"matern","matern",0.0229412326877533,0.0229412326877533,1,FALSE
"fixed_domain__tau0_0.2__n_40","fixed_domain","fixed-domain",0.2,40,24,20360437,"ok",NA,-14.9885644494546,-14.5340321188932,-14.5340321188932,0.454532330561463,0.454532330561463,"matern","matern",0.000347798464975917,0.000347798464975917,1,FALSE
"fixed_domain__tau0_0.2__n_40","fixed_domain","fixed-domain",0.2,40,52,20360465,"ok",NA,-1.68645921078606,-1.63802289345537,-1.63802289345537,0.0484363173306885,0.0484363173306885,"matern","matern",0.0274208671455059,0.0274208671455059,1,FALSE
"fixed_domain__tau0_0.2__n_40","fixed_domain","fixed-domain",0.2,40,20,20360433,"ok",NA,-1.43031421034149,-1.30388908773392,-1.30388908773392,0.126425122607568,0.126425122607568,"matern","matern",0.018605256469382,0.018605256469382,1,FALSE
"fixed_domain__tau0_0.2__n_40","fixed_domain","fixed-domain",0.2,40,41,20360454,"ok",NA,-13.3130164583358,-12.8996442288725,-12.8996442288725,0.413372229463235,0.413372229463235,"matern","matern",0.0366434445047974,0.0366434445047974,1,FALSE
"fixed_domain__tau0_0.2__n_40","fixed_domain","fixed-domain",0.2,40,36,20360449,"ok",NA,-12.1434731832897,-11.9215214040595,-11.9215214040595,0.22195177923021,0.22195177923021,"matern","matern",0.0319637562056379,0.0319637562056379,1,FALSE
"fixed_domain__tau0_0.5__n_40","fixed_domain","fixed-domain",0.5,40,7,20460420,"ok",NA,-31.7382093214469,-31.7104985470766,-31.7104985470766,0.0277107743702487,0.0277107743702487,"matern","matern",0.00105018131501243,0.00105018131501243,1,FALSE
"fixed_domain__tau0_0.5__n_40","fixed_domain","fixed-domain",0.5,40,8,20460421,"ok",NA,-31.3231092813112,-31.0612756214772,-31.0612756214772,0.261833659834025,0.261833659834025,"matern","matern",0.0193775377928897,0.0193775377928897,1,FALSE
