"cell_id","regime","regime_label","tau0","n","domain_length","n_total","n_valid","n_error","n_iid","n_matern","n_tie","p_iid","p_matern","p_tie","p_iid_ci_low","p_iid_ci_high","roughly_half","mean_delta","median_delta","q10_delta","q90_delta","q10_range","q50_range","q90_range","matern_selected_count","matern_selected_range_lt_mesh","q10_range_over_mesh_selected","q50_range_over_mesh_selected","q90_range_over_mesh_selected"
"fixed_domain__tau0_0.2__n_40","fixed_domain","fixed-domain",0.2,40,1,20,20,0,12,8,0,0.6,0.4,0,0.386581500762253,0.781193467627183,TRUE,-0.339323482151849,-0.0920313067957013,-0.606205273775464,0.674545798098681,0.000312983876025969,0.000949089019712188,0.0417879336292762,8,0.75,0.0102360172477244,0.679330290650331,1.4165884061092
"fixed_domain__tau0_0.2__n_80","fixed_domain","fixed-domain",0.2,80,1,20,20,0,11,9,0,0.55,0.45,0,0.342085342450342,0.741802141744376,TRUE,-2.92946879273824,-0.0885395502014248,-12.5897287332062,0.476080268504833,3.22414282688449e-05,0.000281219648080737,0.0136109897370289,9,1,0.0039682148515056,0.228951178327987,0.288986072661278
"fixed_domain__tau0_0.2__n_160","fixed_domain","fixed-domain",0.2,160,1,20,20,0,16,4,0,0.8,0.2,0,0.583982567748107,0.919342337420202,FALSE,-12.0908953885463,-11.4823104853345,-24.4257260869464,0.126496484416455,0.000152934748618898,0.00552814994452842,1.74590208950031,4,1,0.000983839267652274,0.0347969549585961,0.0953434403515925
"fixed_domain__tau0_0.2__n_320","fixed_domain","fixed-domain",0.2,320,1,20,20,0,18,2,0,0.9,0.1,0,0.698966354771513,0.972133518786232,FALSE,-42.4340583363152,-45.515961311394,-71.1115764700232,-0.133406661727408,0.000120723632353244,0.0230765119618209,0.773694466561113,2,1,0.0250734291878428,0.0300482943694163,0.0350231595509897
"fixed_domain__tau0_0.5__n_40","fixed_domain","fixed-domain",0.5,40,1,20,20,0,14,6,0,0.7,0.3,0,0.481027181646477,0.854522755132396,FALSE,-0.00897489436694908,-0.19234309702615,-0.4489126365654,0.524574183721149,1.65682545728622e-10,0.00112895318839819,0.0227006908347478,6,1,0.0172774961811099,0.167023733905696,0.502470758760267
"fixed_domain__tau0_0.5__n_80","fixed_domain","fixed-domain",0.5,80,1,20,20,0,8,12,0,0.4,0.6,0,0.218806532372817,0.613418499237747,TRUE,0.230284076984246,0.124711051957263,-0.445282794453156,1.23662957264543,0.000127727438553945,0.0044292827154331,0.0137348164564386,12,1,0.0132047281622655,0.245245914952351,0.285436235132881
"fixed_domain__tau0_0.5__n_160","fixed_domain","fixed-domain",0.5,160,1,20,20,0,10,10,0,0.5,0.5,0,0.299298008198212,0.700701991801788,TRUE,0.0779429118850615,-0.013714409526159,-0.545546040778339,0.673551938645051,2.60977750843373e-05,0.000119076497200187,0.00571907381159263,10,1,2.08460535362903e-08,0.00303259441971111,0.126116123106649
"fixed_domain__tau0_0.5__n_320","fixed_domain","fixed-domain",0.5,320,1,20,20,0,17,3,0,0.85,0.15,0,0.639581135259243,0.947631254103783,FALSE,-0.27227417669526,-0.451864785924954,-0.558393937335745,0.240423391648176,2.23768195248257e-12,2.52533483293e-06,2.46981324457214e-05,3,1,6.53098170774976e-05,0.000326548707636335,0.0440063483152266
"increasing_domain__tau0_0.2__n_80","increasing_domain","increasing-domain",0.2,80,1,20,20,0,11,9,0,0.55,0.45,0,0.342085342450342,0.741802141744376,TRUE,-1.47154767501531,-0.0214865461681555,-1.66677981354358,0.335420694893507,0.000171772341975321,0.00271286354433617,0.0145835246325798,9,1,0.16784009972434,0.280121068126211,0.326248143972898
"increasing_domain__tau0_0.2__n_160","increasing_domain","increasing-domain",0.2,160,2,20,20,0,14,6,0,0.7,0.3,0,0.481027181646477,0.854522755132396,FALSE,-11.4496072168696,-7.54709780819389,-24.0596812691423,0.456415698551786,9.65238451088344e-05,0.00787912274849248,0.637575402429218,6,1,0.00808354512065503,0.194640171150237,0.29944774505752
"increasing_domain__tau0_0.2__n_320","increasing_domain","increasing-domain",0.2,320,4,20,19,1,17,2,0,0.894736842105263,0.105263157894737,0,0.68605917288891,0.97064143970113,FALSE,-38.9079244757711,-42.763435736206,-53.7317371492701,-0.0704511011894406,0.000229941387399594,0.115541414877956,18.7191560528285,2,1,0.030246779853302,0.13989574391804,0.249544707982778
"increasing_domain__tau0_0.2__n_640","increasing_domain","increasing-domain",0.2,640,8,20,15,5,15,0,0,1,0,0,0.796116698964151,1,FALSE,-82.4580406501166,-98.1325914260409,-117.24422670284,-27.8824520158917,0.00361138890514422,3.31756623529979,119.047927217055,0,NA,NA,NA,NA
"increasing_domain__tau0_0.5__n_80","increasing_domain","increasing-domain",0.5,80,1,20,20,0,11,9,0,0.55,0.45,0,0.342085342450342,0.741802141744376,TRUE,0.0556014315984719,-0.105176197954052,-0.546564714804907,0.815659740762985,0.000195068830336322,0.000693989358117189,0.00592876282009993,9,1,0.00357748073106282,0.0114038000582414,0.174130102988113
"increasing_domain__tau0_0.5__n_160","increasing_domain","increasing-domain",0.5,160,2,20,20,0,13,7,0,0.65,0.35,0,0.432854276685236,0.818808175898918,FALSE,-0.100051256275928,-0.235353699111073,-0.481820588089732,0.361872794029566,5.04636182019125e-25,0.000190745885083093,0.00327184745925933,7,1,0.00117621762073454,0.00357993579273836,0.155925234389349
"increasing_domain__tau0_0.5__n_320","increasing_domain","increasing-domain",0.5,320,4,20,20,0,12,8,0,0.6,0.4,0,0.386581500762253,0.781193467627183,TRUE,-0.0611070620826553,-0.176190479780189,-0.526194062347008,0.484093327760695,3.01876027832851e-32,2.46988781924129e-05,0.00156670919767016,8,1,4.03908290077365e-10,0.00090762215091862,0.0716427574611551
"increasing_domain__tau0_0.5__n_640","increasing_domain","increasing-domain",0.5,640,8,20,20,0,10,10,0,0.5,0.5,0,0.299298008198212,0.700701991801788,TRUE,0.182353242029956,0.000470201345137866,-0.563811902511338,1.25880771376453,2.40843010561897e-41,0.000146349156400766,0.00780643156463655,10,1,3.7910713395523e-32,0.119841312273331,0.203967422043844
