"cell_id","regime","regime_label","tau0","n","domain_length","n_total","n_valid","n_error","n_iid","n_matern","n_tie","p_iid","p_matern","p_tie","p_iid_ci_low","p_iid_ci_high","roughly_half","mean_delta","median_delta","q10_delta","q90_delta","q10_range","q50_range","q90_range","matern_selected_count","matern_selected_range_lt_mesh","q10_range_over_mesh_selected","q50_range_over_mesh_selected","q90_range_over_mesh_selected","confirmatory_selected"
"fixed_domain__tau0_0.2__n_40","fixed_domain","fixed-domain",0.2,40,1,60,60,0,32,28,0,0.533333333333333,0.466666666666667,0,0.408934270271579,0.653720939585615,TRUE,-0.407649851519028,-0.0204560159114484,-2.30713025429988,0.592296407066232,0.000286190184875698,0.00103838318895636,0.0405215891673336,28,0.821428571428571,0.00662978449830066,0.396493708882872,1.56021840649781,TRUE
"fixed_domain__tau0_0.2__n_80","fixed_domain","fixed-domain",0.2,80,1,60,60,0,35,25,0,0.583333333333333,0.416666666666667,0,0.457280810226401,0.699357214416584,TRUE,-2.44928755596647,-0.0786591284673186,-12.2700564354917,0.640296219513872,5.85948402407879e-05,0.000305485892515003,0.0165518603604132,25,1,0.00396894850245221,0.102372091444587,0.450400879850331,TRUE
"fixed_domain__tau0_0.2__n_160","fixed_domain","fixed-domain",0.2,160,1,20,20,0,16,4,0,0.8,0.2,0,0.583982567748107,0.919342337420202,FALSE,-12.0908953885463,-11.4823104853345,-24.4257260869464,0.126496484416455,0.000152934748618898,0.00552814994452842,1.74590208950031,4,1,0.000983839267652274,0.0347969549585961,0.0953434403515925,FALSE
"fixed_domain__tau0_0.2__n_320","fixed_domain","fixed-domain",0.2,320,1,20,20,0,18,2,0,0.9,0.1,0,0.698966354771513,0.972133518786232,FALSE,-42.4340583363152,-45.515961311394,-71.1115764700232,-0.133406661727408,0.000120723632353244,0.0230765119618209,0.773694466561113,2,1,0.0250734291878428,0.0300482943694163,0.0350231595509897,FALSE
"fixed_domain__tau0_0.5__n_40","fixed_domain","fixed-domain",0.5,40,1,20,20,0,14,6,0,0.7,0.3,0,0.481027181646477,0.854522755132396,FALSE,-0.00897489436694908,-0.19234309702615,-0.4489126365654,0.524574183721149,1.65682545728622e-10,0.00112895318839819,0.0227006908347478,6,1,0.0172774961811099,0.167023733905696,0.502470758760267,FALSE
"fixed_domain__tau0_0.5__n_80","fixed_domain","fixed-domain",0.5,80,1,60,60,0,28,32,0,0.466666666666667,0.533333333333333,0,0.346279060414385,0.591065729728421,TRUE,0.201796440356403,0.0488016619752045,-0.488092370939157,1.00960568449062,0.000150567796688244,0.0009748067124725,0.0143588465906708,32,1,0.004253892027768,0.176561452491852,0.324194294540503,TRUE
"fixed_domain__tau0_0.5__n_160","fixed_domain","fixed-domain",0.5,160,1,60,60,0,35,25,0,0.583333333333333,0.416666666666667,0,0.457280810226401,0.699357214416584,TRUE,0.0881090569296045,-0.144645187312875,-0.548548824582213,0.917370395532515,8.35269780532288e-10,9.16494897719354e-05,0.00568477083517307,25,1,1.98610201425895e-08,0.00251451576953024,0.130777712208403,TRUE
"fixed_domain__tau0_0.5__n_320","fixed_domain","fixed-domain",0.5,320,1,20,20,0,17,3,0,0.85,0.15,0,0.639581135259243,0.947631254103783,FALSE,-0.27227417669526,-0.451864785924954,-0.558393937335745,0.240423391648176,2.23768195248257e-12,2.52533483293e-06,2.46981324457214e-05,3,1,6.53098170774976e-05,0.000326548707636335,0.0440063483152266,FALSE
"increasing_domain__tau0_0.2__n_80","increasing_domain","increasing-domain",0.2,80,1,60,60,0,31,29,0,0.516666666666667,0.483333333333333,0,0.393078100325925,0.638249504602672,TRUE,-2.39251186609813,-0.000572203624418677,-13.3512908085754,0.519018579391018,7.0952650373427e-05,0.00532606475325074,0.0191381053055502,29,1,0.00441613474813995,0.254825752116125,0.464276489875229,TRUE
"increasing_domain__tau0_0.2__n_160","increasing_domain","increasing-domain",0.2,160,2,20,20,0,14,6,0,0.7,0.3,0,0.481027181646477,0.854522755132396,FALSE,-11.4496072168696,-7.54709780819389,-24.0596812691423,0.456415698551786,9.65238451088344e-05,0.00787912274849248,0.637575402429218,6,1,0.00808354512065503,0.194640171150237,0.29944774505752,FALSE
