"cell_id","cell_index","regime","regime_label","tau0","n","domain_length","stage","rep","seed","status","error_message","loglik_matern","loglik_iid","delta","selection","fitted_range","fitted_sigma","fitted_beta","range_over_mesh","iid_mean","iid_sigma"
"fixed_domain__tau0_0.5__n_40",1,"fixed_domain","fixed-domain",0.5,40,1,"pilot",1,20360414,"ok",NA,-23.7041515392479,-25.720487222719,2.01633568347115,"matern",0.0475590941889705,0.38824400838693,0.277331990706445,0.95118188377941,0.290826179431404,0.414554103847705
"fixed_domain__tau0_0.5__n_40",1,"fixed_domain","fixed-domain",0.5,40,1,"pilot",2,20360415,"ok",NA,-27.5428671451431,-28.7018318296131,1.15896468447001,"matern",0.000747155731741888,2.35492836428012,0.273128386588606,0.0149431146348378,0.255402857870097,0.453774206294537
"fixed_domain__tau0_0.5__n_40",1,"fixed_domain","fixed-domain",0.5,40,1,"pilot",3,20360416,"ok",NA,-32.6821241628165,-32.5079443229467,-0.174179839869765,"iid",0.0123810421298491,0.695851866639773,0.377856912869512,0.247620842596982,0.365739444669671,0.507403894389996
"fixed_domain__tau0_0.5__n_40",1,"fixed_domain","fixed-domain",0.5,40,1,"pilot",4,20360417,"ok",NA,-22.112421257262,-22.9231782613525,0.810757004090469,"matern",0.0311077842763296,0.377134155674799,0.202093514208415,0.622155685526593,0.192095088843225,0.379740918461348
"fixed_domain__tau0_0.5__n_40",1,"fixed_domain","fixed-domain",0.5,40,1,"pilot",5,20360418,"ok",NA,-28.9275316797533,-28.7209965365996,-0.206535143153729,"iid",0.0259661631568913,0.481156000357947,0.343840685030547,0.519323263137826,0.340871756900502,0.454033902510918
"fixed_domain__tau0_0.5__n_40",1,"fixed_domain","fixed-domain",0.5,40,1,"pilot",6,20360419,"ok",NA,-35.471154258027,-35.2962631375432,-0.17489112048375,"iid",0.00040219639183395,4.02723221892221,0.265884839471397,0.00804392783667901,0.269731588633765,0.549507756655659
"fixed_domain__tau0_0.5__n_40",1,"fixed_domain","fixed-domain",0.5,40,1,"pilot",7,20360420,"ok",NA,-34.007289616722,-34.8015624846415,0.794272867919588,"matern",0.0273705316357575,0.553494806980603,0.199499092565549,0.54741063271515,0.185982835437957,0.541852820748026
"fixed_domain__tau0_0.5__n_40",1,"fixed_domain","fixed-domain",0.5,40,1,"pilot",8,20360421,"ok",NA,-31.3001496701432,-30.7867636465843,-0.513386023558951,"iid",0.0155910611644003,0.607727764246365,0.291780571176036,0.311821223288005,0.288419910715112,0.48262851668529
"fixed_domain__tau0_0.5__n_40",1,"fixed_domain","fixed-domain",0.5,40,1,"pilot",9,20360422,"ok",NA,-39.1934874191619,-38.7901187287886,-0.403368690373355,"iid",0.000854481513710311,3.06629005333513,0.27027321887782,0.0170896302742062,0.269025236376087,0.605996628992859
"fixed_domain__tau0_0.5__n_40",1,"fixed_domain","fixed-domain",0.5,40,1,"pilot",10,20360423,"ok",NA,-31.7969040935401,-31.1995933198321,-0.59731077370796,"iid",0.000444114483165254,3.44465878741779,0.315236533583888,0.00888228966330507,0.317742646969358,0.488490038117248
