"n","domain_length","rep","est_range","est_sigma","est_beta","abs_err_range","abs_err_sigma","surface_rmse","surface_corr"
80,1,1,0.202141788575717,0.302542473605865,0.209015895498033,0.00214178857571651,0.00254247360586546,0.0373063160419319,0.992504317467163
80,1,2,0.192917030940809,0.281644707636209,0.28996642507498,0.00708296905919112,0.0183552923637914,0.0326371176020412,0.994367856749641
80,1,3,0.104183862152719,0.15591553229343,0.479936810958389,0.0958161378472813,0.14408446770657,0.0320295941784387,0.977007866658573
80,1,4,0.192363094084391,0.27077841030445,0.186787201465866,0.00763690591560914,0.0292215896955496,0.0284009700137779,0.995393477990845
160,2,1,0.166380868603247,0.208532076360327,0.196404327631275,0.0336191313967532,0.091467923639673,0.0338426397494876,0.988483165729472
160,2,2,0.170269679666983,0.251851350574242,0.601884434288529,0.0297303203330172,0.0481486494257584,0.0351477515361027,0.990623524890798
160,2,3,0.193869391176555,0.29257246734818,0.505127623022758,0.00613060882344457,0.00742753265182045,0.0303925836105393,0.994424697924103
160,2,4,0.183196391282006,0.269664136453498,0.296058888341235,0.0168036087179938,0.0303358635465019,0.0334174866626384,0.99357465033693
320,4,1,0.200666358050003,0.280065793730285,0.452484320727894,0.00066635805000298,0.019934206269715,0.0306060809434515,0.993868589015144
320,4,2,0.189162028443057,0.281212193835379,0.368412609149038,0.0108379715569428,0.0187878061646214,0.0302981885058228,0.994500789381072
320,4,3,0.226846811026583,0.353735936561372,0.512574481600605,0.026846811026583,0.0537359365613724,0.0306111966057065,0.996271870833569
320,4,4,0.203762042024205,0.294631150932824,0.482306312181754,0.00376204202420466,0.00536884906717605,0.0310266520812687,0.995089612043566
640,8,1,0.224138314591721,0.332396112125122,0.460956717107219,0.024138314591721,0.0323961121251218,0.0328688093829,0.99518404007098
640,8,2,0.180904956441992,0.28627859868602,0.445151161594146,0.0190950435580081,0.0137214013139797,0.029964986480135,0.994513355242217
640,8,3,0.186865146481808,0.2859115631598,0.467566592553645,0.0131348535181915,0.0140884368402,0.033805850812231,0.992764343591639
640,8,4,0.189839708535542,0.27510685712901,0.430132341440985,0.0101602914644578,0.0248931428709899,0.0321014860957152,0.993958294789688
