"n","link","elapsed_sec","setup_elapsed_sec","n_spde","backend","laplace_implementation","tmb_mode_source","fitted_noise_sd","log_likelihood","error"
100,"identity",0.567,0.272,216,"exact",NA,NA,0.117533532666142,13.8643585848472,NA
100,"log",3.162,0.272,216,"laplace_fisher","tmb","last.par.best",0.130620188681668,12.0142604228894,NA
100,"softplus",2.716,0.272,216,"laplace","tmb","last.par.best",0.122055697109585,12.975488516539,NA
500,"identity",0.742000000000001,0.280999999999999,622,"exact",NA,NA,0.134814711779981,193.507619277192,NA
500,"log",25.657,0.280999999999999,622,"laplace_fisher","tmb","last.par.best",0.135134682129807,188.167646181638,NA
500,"softplus",22.371,0.280999999999999,622,"laplace","tmb","last.par.best",0.134950925978133,191.178914136811,NA
1500,"identity",3.67100000000001,0.369999999999997,1796,"exact",NA,NA,0.149736723460666,591.389800662044,NA
1500,"log",147.107,0.369999999999997,1796,"laplace_fisher","tmb","last.par.best",0.149451186343364,583.90049989126,NA
1500,"softplus",146.421,0.369999999999997,1796,"laplace","tmb","last.par.best",0.149579795827632,588.147400423416,NA
3000,"identity",6.31599999999997,0.495999999999981,3365,"exact",NA,NA,0.146778209714523,1344.39215542837,NA
3000,"log",499.473,0.495999999999981,3365,"laplace_fisher","tmb","last.par.best",0.146569006706206,1334.25648205289,NA
3000,"softplus",490.597,0.495999999999981,3365,"laplace","tmb","last.par.best",0.146675837260997,1340.08886187271,NA
