"n","domain_length","family","variant","implementation","method_id","elapsed_seconds","status","detail"
100,1,"LGP","betaprec = 0","package","lgp_b0",0.139999999999999,"completed",""
100,1,"LGP","betaprec < 0","package","lgp_blt0",0.166,"completed",""
100,1,"Matern","betaprec = 0","exact","matern_b0_exact",1.415,"completed",""
100,1,"Matern","betaprec < 0","exact","matern_blt0_exact",0.498999999999999,"completed",""
100,1,"Matern + PC prior","betaprec = 0","INLA","matern_pc_b0_inla",2.573,"completed",""
100,1,"Matern + PC prior","betaprec < 0","exact","matern_pc_blt0_exact",0.84,"completed",""
100,1,"Matern + PC prior","betaprec < 0","clinear","matern_pc_blt0_clinear",2.719,"completed",""
300,3,"LGP","betaprec = 0","package","lgp_b0",0.240000000000002,"completed",""
300,3,"LGP","betaprec < 0","package","lgp_blt0",0.212999999999997,"completed",""
300,3,"Matern","betaprec = 0","exact","matern_b0_exact",0.942,"completed",""
300,3,"Matern","betaprec < 0","exact","matern_blt0_exact",0.608999999999998,"completed",""
300,3,"Matern + PC prior","betaprec = 0","INLA","matern_pc_b0_inla",3.003,"completed",""
300,3,"Matern + PC prior","betaprec < 0","exact","matern_pc_blt0_exact",2.629,"completed",""
300,3,"Matern + PC prior","betaprec < 0","clinear","matern_pc_blt0_clinear",2.869,"completed",""
1000,10,"LGP","betaprec = 0","package","lgp_b0",2.233,"completed",""
1000,10,"LGP","betaprec < 0","package","lgp_blt0",2.123,"completed",""
1000,10,"Matern","betaprec = 0","exact","matern_b0_exact",0.798000000000002,"completed",""
1000,10,"Matern","betaprec < 0","exact","matern_blt0_exact",0.934999999999995,"completed",""
1000,10,"Matern + PC prior","betaprec = 0","INLA","matern_pc_b0_inla",3.01,"completed",""
1000,10,"Matern + PC prior","betaprec < 0","exact","matern_pc_blt0_exact",21.765,"completed",""
1000,10,"Matern + PC prior","betaprec < 0","clinear","matern_pc_blt0_clinear",3.01900000000001,"completed",""
3000,30,"LGP","betaprec = 0","package","lgp_b0",60,"timed_out","reached elapsed time limit [cpu=60s, elapsed=60s]"
3000,30,"LGP","betaprec < 0","package","lgp_blt0",60,"timed_out","reached elapsed time limit [cpu=60s, elapsed=60s]"
3000,30,"Matern","betaprec = 0","exact","matern_b0_exact",0.719999999999999,"completed",""
3000,30,"Matern","betaprec < 0","exact","matern_blt0_exact",2.91899999999998,"completed",""
3000,30,"Matern + PC prior","betaprec = 0","INLA","matern_pc_b0_inla",3.03300000000002,"completed",""
3000,30,"Matern + PC prior","betaprec < 0","exact","matern_pc_blt0_exact",60.136,"error","non-finite finite-difference value [2]"
3000,30,"Matern + PC prior","betaprec < 0","clinear","matern_pc_blt0_clinear",2.91499999999996,"completed",""
10000,100,"LGP","betaprec = 0","package","lgp_b0",163.108,"error","initial value in 'vmmin' is not finite"
10000,100,"LGP","betaprec < 0","package","lgp_blt0",160.637,"error","initial value in 'vmmin' is not finite"
10000,100,"Matern","betaprec = 0","exact","matern_b0_exact",2.11599999999999,"completed",""
10000,100,"Matern","betaprec < 0","exact","matern_blt0_exact",18.09,"completed",""
10000,100,"Matern + PC prior","betaprec = 0","INLA","matern_pc_b0_inla",5.12800000000004,"completed",""
10000,100,"Matern + PC prior","betaprec < 0","exact","matern_pc_blt0_exact",60.063,"error","non-finite finite-difference value [2]"
10000,100,"Matern + PC prior","betaprec < 0","clinear","matern_pc_blt0_clinear",4.12900000000002,"completed",""
