"case","pql_inner_iter","pql_time_sec","reference_time_sec","speedup","log_range_pql","log_range_ref","log_range_diff","log_sigma_pql","log_sigma_ref","log_sigma_diff","beta_pql","beta_ref","beta_diff","noise_sd_pql","noise_sd_ref","noise_sd_diff","log_noise_diff","eta_mean_max_abs","eta_mean_rmse","eta_sd_max_abs","eta_sd_rmse","response_mean_max_abs","response_mean_rmse","log_likelihood_diff_per_obs"
"known_s_ebnm",1,4.22799999999999,36.965,8.74290444654684,0.546728918179377,0.53164341880006,0.0150854993793172,-0.091475739617855,-0.0179399132000956,-0.0735358264177595,0.71560262722574,0.622366174254199,0.0932364529715404,NA,NA,NA,NA,0.390728788841944,0.166716659914476,0.0156663046913502,0.00686715534535406,0.161610037561086,0.0779247415086343,-0.142787183440213
"learned_s_eb_smoother",1,5.309,38.679,7.28555283480882,0.50616089738835,0.496009918019626,0.0101509793687242,-0.108758288088173,-0.0332439356115132,-0.0755143524766602,0.714506084602425,0.621612715711673,0.0928933688907515,0.142445574483667,0.14311559981662,-0.000670025332952795,-0.00469270070884797,0.393110631703917,0.167008328051635,0.015693882170056,0.00685338817727413,0.162785130910459,0.0780973159870326,-0.158742646342483
"known_s_ebnm",2,6.30200000000001,36.965,5.86559822278641,0.533050907369937,0.53164341880006,0.00140748856987694,-0.0279321956303232,-0.0179399132000956,-0.00999228243022761,0.632724996296296,0.622366174254199,0.010358822042097,NA,NA,NA,NA,0.0418023415495438,0.0122253038017434,0.00314980247657171,0.000872366593943207,0.0159182696119989,0.00492073878794628,-0.000813574495208968
"learned_s_eb_smoother",2,7.744,38.679,4.9947055785124,0.49435915528834,0.496009918019626,-0.001650762731285,-0.044700660176643,-0.0332439356115132,-0.0114567245651298,0.631979616929276,0.621612715711673,0.0103669012176028,0.143258722033582,0.14311559981662,0.000143122216962666,0.00099954652326395,0.042452602811503,0.0123180161234948,0.00309960258962072,0.000807031431846675,0.0162094463429263,0.0049597785404293,-0.000903907167912848
"known_s_ebnm",3,8.391,36.965,4.40531521868668,0.527310703374903,0.53164341880006,-0.00433271542515756,-0.0233722925424393,-0.0179399132000956,-0.00543237934234376,0.628645233854679,0.622366174254199,0.00627905960048025,NA,NA,NA,NA,0.00146546580480544,0.000275426880378562,0.00239895752987757,0.000538803863070568,0.00052250524872266,0.000111186849354837,8.70837699237654e-05
"learned_s_eb_smoother",3,11.187,38.679,3.45749530705283,0.491288631017964,0.496009918019626,-0.00472128700166152,-0.0388027692270809,-0.0332439356115132,-0.00555883361556769,0.627787741765404,0.621612715711673,0.00617502605373088,0.143138021900335,0.14311559981662,2.24220837154454e-05,0.000156658865147818,0.00158534137065247,0.000290826923036779,0.00245415254828017,0.000550419506454401,0.000568687090241049,0.00011698889755975,8.94046156279273e-05
"known_s_ebnm",5,12.265,36.965,3.013860578883,0.527190697299224,0.53164341880006,-0.00445272150083575,-0.0230028042642091,-0.0179399132000956,-0.00506289106411351,0.628554831598176,0.622366174254199,0.00618865734397644,NA,NA,NA,NA,0.000138024372079215,3.38632467137631e-05,0.00242588827617285,0.00053730031636035,0.000147036720250293,2.93804858049104e-05,9.21732627764413e-05
"learned_s_eb_smoother",5,14.961,38.679,2.58532183677561,0.490370191792291,0.496009918019626,-0.00563972622733439,-0.0392782935343974,-0.0332439356115132,-0.0060343579228842,0.627685267382532,0.621612715711673,0.00607255167085896,0.143128750008459,0.14311559981662,1.31501918392285e-05,9.18808832839346e-05,0.000129348603328916,3.03288400144033e-05,0.00247277828923771,0.000549254507811762,0.000142229519225934,2.72872760569639e-05,9.52595651904176e-05
"known_s_ebnm",10,22.483,36.965,1.64413112129164,0.527184852169771,0.53164341880006,-0.00445856663028932,-0.023070741216364,-0.0179399132000956,-0.00513082801626841,0.628555609455587,0.622366174254199,0.0061894352013877,NA,NA,NA,NA,0.000148328656299934,3.67511414973699e-05,0.00242231711314284,0.000537171595674758,0.000152645057521661,3.10235704481556e-05,9.21648913424633e-05
"learned_s_eb_smoother",10,25.382,38.679,1.52387518714049,0.49037707862619,0.496009918019626,-0.00563283939343584,-0.0392688190149864,-0.0332439356115132,-0.00602488340347317,0.627685223821876,0.621612715711673,0.00607250811020277,0.143129098581363,0.14311559981662,1.349876474388e-05,9.4316260384586e-05,0.000129243768712983,3.04091052864726e-05,0.00247308471142416,0.000549261293814495,0.000142180549379756,2.73321983183795e-05,9.52647209448969e-05
